"id","name","stripeCustomerId","paypalCustomerIds","email","phone","whatsapp","ville","serie_bac","note_esperee","motivation","budget","role","status","languages","isSeller","activeRole","password","deletedAt","emailVerified","trialled","referralCode","age","mediaId","createdAt","updatedAt","country","classe"
"d3e92345-d254-4a7e-adb6-01045d3c1681","Yassine Bennani","","[]","student001@example.ma","+212 6 12 00 01 73","","Casablanca","Sciences Mathematiques","passable","cash","0dh","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","18","","2026-01-02 09:07:00.000","2026-01-03 09:20:00.000","MA","2eme-bac"
"4e267500-2685-4d7b-a507-91af2143d899","Sara Bennani","","[]","student002@example.ma","+212 6 12 00 03 46","","Rabat","Sciences Physiques","bien","prestige","serre","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","19","","2026-01-03 09:14:00.000","2026-01-05 09:27:00.000","MA","1ere-bac"
"2e076ac8-21b0-40b9-b98a-8d432fc21c63","Hamza Bennani","","[]","student003@example.ma","+212 6 12 00 05 19","","Marrakech","Sciences de la Vie et de la Terre","tres_bien","passion","confort","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","20","","2026-01-04 09:21:00.000","2026-01-07 09:34:00.000","MA","bac-plus"
"fdc2e2e2-e19d-4355-92c3-75aa35fd32ab","Aya Bennani","","[]","student004@example.ma","+212 6 12 00 06 92","","Fes","Sciences Economiques","elite","safety","illimite","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","21","","2026-01-05 09:28:00.000","2026-01-09 09:41:00.000","MA","2eme-bac"
"954fcae5-894f-4d0f-a90e-1336bbec5710","Mehdi Bennani","","[]","student005@example.ma","+212 6 12 00 08 65","","Tanger","Lettres","passable","expat","0dh","CLIENT","ACTIVE","[""fr"",""en""]","False","CLIENT","","","True","False","","22","","2026-01-06 09:35:00.000","2026-01-11 09:48:00.000","MA","1ere-bac"
"a3fc711c-b02c-47a7-80ad-6d013c5d20dc","Salma Bennani","","[]","student006@example.ma","+212 6 12 00 10 38","","Agadir","Arts","bien","employability","serre","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","23","","2026-01-07 09:42:00.000","2026-01-13 09:55:00.000","MA","bac-plus"
"02c81004-3212-48e8-852b-1002765d295f","Omar Alaoui","","[]","student007@example.ma","+212 6 12 00 12 11","","Meknes","Sciences Mathematiques","tres_bien","cash","confort","CLIENT","INACTIVE","[""fr""]","False","CLIENT","","","True","False","","24","","2026-01-08 09:49:00.000","2026-01-15 10:02:00.000","MA","2eme-bac"
"8147641a-2e4f-4aac-a458-5fecd450a074","Nour Alaoui","","[]","student008@example.ma","+212 6 12 00 13 84","","Oujda","Sciences Physiques","elite","prestige","illimite","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","","25","","2026-01-09 09:56:00.000","2026-01-17 10:09:00.000","MA","1ere-bac"
"de2af850-9f30-4a41-bb33-d59ad76ee9c2","Anas Alaoui","","[]","student009@example.ma","+212 6 12 00 15 57","","Kenitra","Sciences de la Vie et de la Terre","passable","passion","0dh","CLIENT","ACTIVE","[""fr""]","False","CLIENT","","","True","False","REF009","26","","2026-01-10 10:03:00.000","2026-01-19 10:16:00.000","MA","bac-plus"
"a402d934-99e7-480d-a070-5253df062671","Lina Alaoui","","[]","student010@example.ma","+212 6 12 00 17 30","","Tetouan","Sciences Economiques","bien","safety","serre","CLIENT","ACTIVE","[""fr"",""en""]","False","CLIENT","","","True","False","","17","","2026-01-11 10:10:00.000","2026-01-21 10:23:00.000","MA","2eme-bac"
